"Park_Code","Title","Duration","Short_Description","Image_URL","Record_Type"
"acad","Hike Village Green to Sieur de Monts with Island Explorer Bus","1-1 Hours","Beginning at the Village Green in Bar Harbor and ending at the Sieur de Mont Area this hike includes the Great Meadow Loop, the Hemlock Road Trail, and the Jesup Path. With virtually no elevation gain it traverses a Bar Harbor neighborhood, crosses the Great Meadow, and finishes with a boardwalk at the Nature Center.","https://www.nps.gov/common/uploads/cropped_image/FD1C69A7-DDE5-97F8-4C763B0F93A707F2.jpg","Thing To Do"
"acad","Hike the Acadia Mountain Loop with Island Explorer Bus","2-3 Hours","Acadia Mountain Trail follows up the east and west side of the mountain with views of the surrounding mountains and bodies of water. With the Island Explorer bus, visitors won't need to park along the road and can ride to the trailhead stress-free.","https://www.nps.gov/common/uploads/cropped_image/3671EF84-F904-8E6B-8F2793FF3CCB8854.jpg","Thing To Do"
"acad","Memorials of Acadia Walk & Drive Tour","2","Beginning in the early 1900s, many different people and organizations contributed private land or funded trail project in memory of their loved ones. Today, Acadia National Park contains a wealth of memorials that give us information into its history, establishment, and management. Trace the footsteps of some important players in park history, including many women, with this tour of some of Acadia's memorials.","https://www.nps.gov/common/uploads/tours/990BA9A3-B26E-D4DC-874554EA4944946A.jpg","Tour"
"acad","Oldfarm Video Tour","","George B. Dorr worked tirelessly through the early 1900s to found what we know today as Acadia National Park. His former family estate, known as Oldfarm, is situated along the Compass Harbor Trail, less than a mile from downtown Bar Harbor on State Route 3. The short walk beneath forest canopies leads to foundation remnants of his former cottage, demolished in 1949, and ends at Dorr Point with views of Compass Harbor and the Porcupine Islands.","https://www.nps.gov/common/uploads/cropped_image/24426626-D2CB-3D88-7865EC2F82D486B8.jpg","Thing To Do"
"acad","Oldfarm Video Tour","30","This virtual tour, produced in collaboration with Northern Arizona University, offers visitors an opportunity to explore the site further through a sequence of 11 online videos. An original version of the Oldfarm tour for iOS devices is also available for free download through iTunes. Please note that cellphone reception may be unreliable at this location, so it is recommended to download the videos in advance.","https://www.nps.gov/common/uploads/tours/2F35C03E-0ACF-11A2-94DC3FE0A06DCD6D.jpg","Tour"
"acad","Passport Stamp Tour (May-October)","1","Commemorate your Acadia experience by collecting one or more unique passport stamps to your National Parks book! Since 1986, Passport fans have enjoyed collecting cancellation stamps from nearly every one of the 400+ National Park Service units. You may purchase a Passport book onsite at most other National Parks or online. The locations in this tour and corresponding stamps are only available May-October. For winter visitation, you may receive a Bar Harbor stamp at the designated final stop.","https://www.nps.gov/common/uploads/tours/B01B9901-03D9-D4AA-6C4A46BF3F483386.jpg","Tour"
"alca","Prisoners at Work","1","Learn about prison labor over the centuries at Alcatraz and contemplate the effectiveness of making incarcerated people work for punishment or rehabilitation as they do their time. The tour is 0.25 miles (0.4 km) one way with an elevation gain of 50 feet (16 m).","https://www.nps.gov/common/uploads/tours/9B73A1FA-0BD1-E6D4-B96D73313A882278.jpg","Tour"
"alca","Red Power on Alcatraz","1","Alcatraz Island lies within Ramaytush Ohlone territory. There is no evidence (scientific or oral tradition) regarding Ohlone use of the island. In 1969, a group of Native American students, who later known as “Indians of All Tribes,” came to occupy the island in a political protest. These students fought for inclusion into the educational system that denied them their cultural existence. On this tour, learn the story of the 19-month Indian occupation of Alcatraz Island. The tour is 0.5 mi (0.8km) one way.","https://www.nps.gov/common/uploads/tours/AAC21334-0949-91D6-FDDDCCCBBD7F4F8E.jpg","Tour"
"alka","Puʻuhonua — 1871 Trail","1","Puʻuhonua O Hōnaunau — See the convergence of ancient and historical times as you step back in time with us, walk in the footsteps of the ancestors, and explore the rugged lava shoreline of the South Kona Coast on the 1871 Trail. This is an out-and-back trail with a roundtrip total of two miles. The trail traverses over rugged lava with few opportunities for shade. Sturdy shoes, sun protection, and water are recommended. Please stay on the trail at all times and do not disturb any archeological sites.","https://www.nps.gov/common/uploads/tours/1F3E7DEC-FE33-B4F9-43681CEB1ABB3FDF.jpg","Tour"
"alka","Puʻuhonua — Meet the Kiʻi","10","The kiʻi at Puʻuhonua o Hōnaunau National Historical Park attract visitors from all over the world. Take a journey around the Royal Grounds and meet the kiʻi of Puʻuhonua o Hōnaunau. Learn about what kiʻi are, the history of kiʻi at Puʻuhonua o Hōnaunau, and the forms of the akua (gods) that they represent.","https://www.nps.gov/common/uploads/tours/1FFDCFCC-9E14-3CD7-DD8EF0D724A01B5F.jpg","Tour"
"alka","Puʻuhonua — Mural","5","Puʻuhonua O Hōnaunau National Historical Park — Listen to a brief description of how our ancestors settled these islands and thrived in isolations for hundreds of years before outside contact.","https://www.nps.gov/common/uploads/tours/EBFA8C54-A379-2B58-F607B7FF011F773D.jpg","Tour"
"alka","Puʻuhonua — Royal Grounds","40","Puʻuhonua O Hōnaunau National Historical Park — Take a step back in time to ancient Hawaiʻi and walk in the footsteps of the ancestors. Explore the Royal Grounds which were once reserved for the chiefdom of Kona and pass beyond the Great Wall into the Puʻuhonua, where people found refuge during war or after breaking a kapu (religious law). This self-guided walking tour is about half of a mile long. The terrain is a mixture of crushed coral sand and lava rock.","https://www.nps.gov/common/uploads/tours/1E8D2B01-9485-448C-76BA448D53416BD5.jpg","Tour"
"alka","Puʻukoholā Heiau — Audio Tour","30","Puʻukoholā Heiau National Historic Site — A walking audio tour around the park, 1/2-mile in length, with stops at all the major historic sites.","https://www.nps.gov/common/uploads/tours/EA806A08-F114-A692-88484B300C4218B4.jpeg","Tour"
"alka","Take a Lava Hike!","1-2 Hours","Many trails in the park were created in ancient times and others are from the historical era. These were trails for pack animals. The main park trail is a loop that circles the park and is 4.5 miles long or 7.2 kilometers. It is highly recommended to wear sturdy shoes, have sun protection and bring plenty of water. Many sections of the trail are rough and uneven and the ocean section can be effected by high tides and large surf.","https://www.nps.gov/common/uploads/cropped_image/9F78C893-F14F-1C8E-A3B1708E474E7469.jpg","Thing To Do"
"alpo","Allegheny Portage Railroad National Historic Site Overview Tour","1","Hello and welcome to Allegheny Portage Railroad National Historic Site, a unit of the National Park Service!","https://www.nps.gov/common/uploads/tours/ABA24091-B4D3-CD7F-64A2E12EEC1B9D6C.jpg","Tour"
"alpo","Allegheny Portage Railroad Van Tours","","Please check back for 2026 van tour dates!","https://www.nps.gov/common/uploads/cropped_image/714A58EE-A9EA-0170-C3EE68B97981C4BC.jpg","Thing To Do"
